rxn	LB	UB
MMRNR00217	0	3.6375861597
MMRNR00218	0	6.7526597084
MMRNR00219	0	6.7526597084
MMRNR00223	-1000	1000
MMRNR00269	0	5.1298987149
MMRNR00285	0	1000
MMRNR00286	0	1000
MMRNR00352	0	5.6045758246
MMRNR00353	0	4.4228486292
MMRNR00355	0	0.3333333333
MMRNR00359	0	5.1357984371
MMRNR00360	0	5.8692969131
MMRNR00363	0	1.0
MMRNR00364	0	1.0
MMRNR00365	0	0.980829253
MMRNR00366	0	0.980829253
MMRNR00367	0	3.6635616461
MMRNR00369	0	3.6635616461
MMRNR00371	0	1.0
MMRNR00372	0	1.0
MMRNR00373	-0.980829253	0.980829253
MMRNR00374	-0.980829253	0.980829253
MMRNR00375	-0.980829253	0.980829253
MMRNR00376	0	0.980829253
MMRNR00377	-4.4228486292	4.4228486292
MMRNR00378	0	3.0285220964
MMRNR00381	0	4.4228486292
MMRNR00382	-5.5267800793	5.5267800793
MMRNR00383	-4.4228486292	4.4228486292
MMRNR00384	-4.4228486292	4.4228486292
MMRNR00386	0	3.0285220964
MMRNR00387	0	3.0285220964
MMRNR00388	0	3.0285220964
MMRNR00389	-3.8572147689	3.8572147689
MMRNR00390	0	0.2876820725
MMRNR00391	0	3.3557350076
MMRNR00392	0	1.0
MMRNR00393	0	3.2188758249
MMRNR00394	0	2.7932080094
MMRNR00395	0	1.2039728043
MMRNR00396	0	0.3333333333
MMRNR00397	0	3.6018680771
MMRNR00398	0	3.6018680771
MMRNR00400	0	4.0073331852
MMRNR00401	-4.0718717064	4.0718717064
MMRNR00402	0	1000
MMRNR00403	0	2.7725887222
MMRNR00404	0	2.512305624
MMRNR00405	0	2.512305624
MMRNR00406	0	3.0285220964
MMRNR00407	0	3.0285220964
MMRNR00408	-3.0285220964	3.0285220964
MMRNR00409	-3.0285220964	3.0285220964
MMRNR00412	0	4.4228486292
MMRNR00413	0	3.5165082282
MMRNR00414	0	1.9924301647
MMRNR00449	0	1.7346010554
MMRNR00450	-1.7346010554	1.7346010554
MMRNR00451	-1000	1000
MMRNR00454	-4.4228486292	4.4228486292
MMRNR00455	0	4.4228486292
MMRNR00457	-1.6094379124	1.6094379124
MMRNR00465	0	3.0285220964
MMRNR00466	0	3.8572147689
MMRNR00467	0	3.8572147689
MMRN_Lipid_pool	0	1000
MMRN_Protein_pool	0	1000
MMRN_Nucleotide_pool	0	1000
MMRN_glycogen	0	1000
MMRN_Biomass	0	1000
MMRNR00468	0	1000
MMRNR10760	0	1000
MMRNR00474	0	4.0073331852
MMRNR00487	0	3.9512437186
MMRNR00488	0	5.9224716756
MMRNR00489	0	6.0606796161
MMRNR00490	0	6.2519038832
MMRNR00491	0	6.7776465936
MMRNR00492	0	6.3508857167
MMRNR00493	0	5.1139938071
MMRNR00494	-5.6881046619	5.6881046619
MMRNR00495	0	6.9945444091
MMRNR00496	0	4.9744322454
MMRNR00497	0	6.9945444091
MMRNR00498	0	4.9744322454
MMRNR00499	0	6.9945444091
MMRNR00500	0	4.9744322454
MMRNR00501	0	6.0867747269
MMRNR00502	0	4.9744322454
MMRNR00503	0	4.1588830834
MMRNR00504	0	6.9945444091
MMRNR00505	0	5.1139938071
MMRNR00506	-6.0867747269	6.0867747269
MMRNR00507	0	6.3508857167
MMRNR00508	0	5.6733232672
MMRNR00509	0	6.0606796161
MMRNR00510	0	6.7776465936
MMRNR00511	0	6.3508857167
MMRNR00512	0	5.6733232672
MMRNR00513	0	6.0606796161
MMRNR00514	0	6.7776465936
MMRNR00515	0	6.3508857167
MMRNR00516	0	5.6733232672
MMRNR00517	0	6.0606796161
MMRNR00518	0	6.7776465936
MMRNR00519	0	6.3508857167
MMRNR00520	0	5.6733232672
MMRNR00521	0	6.0606796161
MMRNR00522	0	6.7776465936
MMRNR00523	0	6.3508857167
MMRNR00524	0	5.6733232672
MMRNR00525	0	6.0606796161
MMRNR00526	0	6.7776465936
MMRNR00527	0	6.3508857167
MMRNR00528	0	5.6733232672
MMRNR00529	0	6.0606796161
MMRNR00530	0	6.7776465936
MMRNR00531	0	5.6191924064
MMRNR00532	0	5.6733232672
MMRNR00533	0	6.0606796161
MMRNR00534	0	6.7776465936
MMRNR00535	0	5.6191924064
MMRNR00536	0	5.6733232672
MMRNR00537	0	6.0606796161
MMRNR00538	0	6.7776465936
MMRNR00539	0	5.0668055656
MMRNR00540	0	5.6733232672
MMRNR00541	0	6.0606796161
MMRNR00542	0	6.7776465936
MMRNR00543	0	7.5329804431
MMRNR00544	0	7.5329804431
MMRNR00545	0	7.5329804431
MMRNR00546	0	7.5329804431
MMRNR00547	0	7.5329804431
MMRNR00548	0	7.5329804431
MMRNR00549	0	7.5329804431
MMRNR00550	0	7.5329804431
MMRNR00551	0	7.5329804431
MMRNR00552	0	7.5329804431
MMRNR00553	0	7.5329804431
MMRNR00554	0	7.5329804431
MMRNR00555	0	7.5329804431
MMRNR00556	0	7.5329804431
MMRNR00557	0	7.5329804431
MMRNR00558	0	7.5329804431
MMRNR00559	0	7.5329804431
MMRNR00560	0	7.5329804431
MMRNR00561	0	7.5329804431
MMRNR00562	0	7.5329804431
MMRNR00563	0	7.5329804431
MMRNR00564	0	7.5329804431
MMRNR00565	0	7.5329804431
MMRNR00569	0	6.9945444091
MMRNR00570	0	4.9744322454
MMRNR00571	0	5.8569803197
MMRNR00572	0	4.1588830834
MMRNR00573	0	6.9945444091
MMRNR00574	0	4.9744322454
MMRNR00575	0	5.8569803197
MMRNR00576	0	4.1588830834
MMRNR00577	0	6.9945444091
MMRNR00578	0	4.9744322454
MMRNR00579	0	5.8569803197
MMRNR00580	0	4.1588830834
MMRNR00581	0	6.9945444091
MMRNR00582	0	4.9744322454
MMRNR00583	0	5.8569803197
MMRNR00584	0	4.1588830834
MMRNR00585	0	6.9945444091
MMRNR00586	0	4.9744322454
MMRNR00587	0	5.8569803197
MMRNR00588	0	4.1588830834
MMRNR00589	0	6.9945444091
MMRNR00590	0	4.9744322454
MMRNR00591	0	5.8569803197
MMRNR00592	0	4.1588830834
MMRNR00593	0	6.9945444091
MMRNR00594	0	4.9744322454
MMRNR00595	0	5.8569803197
MMRNR00596	0	4.1588830834
MMRNR00597	0	6.9945444091
MMRNR00598	0	4.9744322454
MMRNR00599	0	5.8569803197
MMRNR00600	0	4.1588830834
MMRNR00601	0	6.9945444091
MMRNR00602	0	4.9744322454
MMRNR00603	0	5.8569803197
MMRNR00604	0	4.1588830834
MMRNR00605	0	6.9945444091
MMRNR00606	0	4.9744322454
MMRNR00607	0	5.8569803197
MMRNR00608	0	4.1588830834
MMRNR00609	0	6.9945444091
MMRNR00610	0	4.9744322454
MMRNR00611	0	5.8569803197
MMRNR00612	0	4.1588830834
MMRNR00613	0	6.9945444091
MMRNR00614	0	4.9744322454
MMRNR00615	0	5.8569803197
MMRNR00616	0	6.3508857167
MMRNR00617	0	5.6733232672
MMRNR00618	0	6.0606796161
MMRNR00619	0	6.7776465936
MMRNR00620	0	6.3508857167
MMRNR00621	0	5.6733232672
MMRNR00622	0	6.0606796161
MMRNR00623	0	6.7776465936
