rxn	LB	UB
MMRNR00217	0	4.451436086
MMRNR00218	0	7.1842500058
MMRNR00219	0	7.1842500058
MMRNR00223	-1000	1000
MMRNR00269	0	5.7884299487
MMRNR00285	0	1000
MMRNR00286	0	1000
MMRNR00352	0	5.5768956248
MMRNR00353	0	4.9071249177
MMRNR00355	0	1.0
MMRNR00359	0	5.4478143777
MMRNR00360	0	5.8066398601
MMRNR00363	0	1.0
MMRNR00364	0	1.0
MMRNR00365	0	0.5596157879
MMRNR00366	0	0.5596157879
MMRNR00367	0	4.1858596711
MMRNR00369	0	4.1858596711
MMRNR00371	0	1.0
MMRNR00372	0	1.0
MMRNR00373	-0.5596157879	0.5596157879
MMRNR00374	-0.5596157879	0.5596157879
MMRNR00375	-0.5596157879	0.5596157879
MMRNR00376	0	0.5596157879
MMRNR00377	-4.9071249177	4.9071249177
MMRNR00378	0	2.8332133441
MMRNR00381	0	4.9071249177
MMRNR00382	-5.6436785506	5.6436785506
MMRNR00383	-4.9071249177	4.9071249177
MMRNR00384	-4.9071249177	4.9071249177
MMRNR00386	0	2.8332133441
MMRNR00387	0	2.8332133441
MMRNR00388	0	2.8332133441
MMRNR00389	-4.2449174207	4.2449174207
MMRNR00390	0	1.0
MMRNR00391	0	3.9936029924
MMRNR00392	0	1.0
MMRNR00393	0	3.2484346271
MMRNR00394	0	2.6912430828
MMRNR00395	0	1.32175584
MMRNR00396	0	1.0
MMRNR00397	0	3.5624655293
MMRNR00398	0	3.5624655293
MMRNR00400	0	4.2449174207
MMRNR00401	-4.693638834	4.693638834
MMRNR00402	0	1000
MMRNR00403	0	3.208825489
MMRNR00404	0	2.3272777056
MMRNR00405	0	2.3272777056
MMRNR00406	0	2.8332133441
MMRNR00407	0	2.8332133441
MMRNR00408	-2.8332133441	2.8332133441
MMRNR00409	-2.8332133441	2.8332133441
MMRNR00412	0	4.9071249177
MMRNR00413	0	4.2158244598
MMRNR00414	0	2.1690537004
MMRNR00449	0	2.302585093
MMRNR00450	-2.302585093	2.302585093
MMRNR00451	-1000	1000
MMRNR00454	-4.9071249177	4.9071249177
MMRNR00455	0	4.9071249177
MMRNR00457	-2.4423470354	2.4423470354
MMRNR00465	0	2.8332133441
MMRNR00466	0	4.2449174207
MMRNR00467	0	4.2449174207
MMRN_Lipid_pool	0	1000
MMRN_Protein_pool	0	1000
MMRN_Nucleotide_pool	0	1000
